"OysterID","Date","Section","StationName","Station","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight"
"ABCC1906-11",2019-06-03,"C","Halfmoon",6,60.92,57.46,34.71,79.88,1.06,10.6,64.02,2,62.01
"ABCC1906-12",2019-06-03,"C","Halfmoon",6,85.1,73.53,41.46,154.06,1.06,26.18,113.43,3.44,109.27
"ABCC1906-13",2019-06-03,"C","Halfmoon",6,92.13,67.65,42.16,135.95,1.05,23.37,101.31,3.08,95.36
"ABCC1906-14",2019-06-03,"C","Halfmoon",6,116.66,79.23,40.17,262.1,2.28,46.59,200.81,5.64,191.27
"ABCC1906-15",2019-06-03,"C","Halfmoon",6,72.41,62.6,38.75,125.76,1.04,13.97,105.74,2.2,102.17
"ABCC1906-16",2019-06-03,"C","Halfmoon",6,76.11,69.92,30.45,118.85,1.04,18.17,88.8,2.4,86.3
"ABCC1906-17",2019-06-03,"C","Halfmoon",6,93.77,71.55,38.63,168.68,1.03,28.21,128.33,4.73,123.01
"ABCC1906-18",2019-06-03,"C","Halfmoon",6,55.42,44.36,26.79,46.7,1.04,6.88,36.01,1.72,34.83
"ABCC1906-19",2019-06-03,"C","Halfmoon",6,49.9,47.21,24.7,37.17,1.04,4.54,30.64,1.55,29.66
"ABCC1906-20",2019-06-03,"C","Halfmoon",6,53.6,46.07,22.76,30.59,1.05,4.54,23.92,1.5,23.42
"ABCC1906-21",2019-06-03,"C","Halfmoon",6,91.51,72.36,45.4,201.98,2.23,19.57,166.87,3.93,162.55
"ABCC1906-22",2019-06-03,"C","Halfmoon",6,82.47,80.08,45.59,170.24,1.04,18.83,133.37,2.92,127.15
"ABCC1906-23",2019-06-03,"C","Halfmoon",6,90.12,74.35,36.15,227.2,2.23,24.28,187.71,5.1,179.35
"ABCC1906-24",2019-06-03,"C","Halfmoon",6,74.23,73.17,32.49,146.24,1.03,17.97,111.91,2.8,106.56
"ABCC1906-25",2019-06-03,"C","Halfmoon",6,75.55,66.55,30.81,90.04,1.04,16.62,65.25,3.26,62.36
"ABEC1905-01",2019-05-03,"E","Cat Point",11,89.16,75.55,37.32,186.28,1.02,36.2,141.86,7.48,134.73
"ABEC1905-02",2019-05-03,"E","Cat Point",11,71.15,65.42,37.59,127.86,1.03,18.49,106.45,4.73,97.35
"ABEC1905-03",2019-05-03,"E","Cat Point",11,63.99,59.56,28.22,75,1.05,16.88,56.02,4.33,54.27
"ABEC1905-04",2019-05-03,"E","Cat Point",11,73.04,68.03,33.22,107.83,1.03,12.67,84.87,3.18,78.94
"ABEC1905-05",2019-05-03,"E","Cat Point",11,54.65,52.43,24.88,50.56,1.06,8.71,41.52,2.57,40.22
"ABEC1905-06",2019-05-03,"E","Cat Point",11,65.98,62.24,36.03,88.42,1.03,13.65,73.28,3.57,70.09
"ABEC1905-07",2019-05-03,"E","Cat Point",11,89.8,75.56,44.34,179.25,1.04,28.25,142.68,6.61,131.06
"ABEC1905-08",2019-05-03,"E","Cat Point",11,55.16,48.45,18.96,45.17,1.03,9.23,34.36,2.76,33.31
"ABEC1905-09",2019-05-03,"E","Cat Point",11,70.95,65.96,34.7,126.55,1.05,20.11,104.75,4.69,98.08
"ABEC1905-10",2019-05-03,"E","Cat Point",11,80.87,87.51,33.31,144.43,1.03,18.18,125.08,4.41,121.2
"ABEC1905-11",2019-05-03,"E","Cat Point",11,77.93,69.93,37.96,161.34,1.05,23.09,133.58,5.26,126.43
"ABEC1905-12",2019-05-03,"E","Cat Point",11,49.94,43.45,17.34,26.1,1.04,5.74,20.68,1.97,20.06
"ABEC1905-13",2019-05-03,"E","Cat Point",11,79.65,60.95,34.56,135.68,1.04,20.35,108.66,4.68,103.92
"ABEC1905-14",2019-05-03,"E","Cat Point",11,83.27,70.5,34.21,149.53,1.06,23.69,123.73,5.34,119.53
"ABEC1905-15",2019-05-03,"E","Cat Point",11,55.26,53,30.94,66.13,1.04,10.31,53.92,2.63,51.61
"ABEC1905-16",2019-05-03,"E","Cat Point",11,46.91,43.39,22.26,32.17,1.05,6.07,25.15,2.48,24.36
"ABEC1905-17",2019-05-03,"E","Cat Point",11,83.19,66,35.65,164.48,1.05,26.63,133.3,5.78,121.45
"ABEC1905-18",2019-05-03,"E","Cat Point",11,86.76,73.27,39.47,177.1,1.03,28.6,139.65,5.87,131.89
"ABEC1905-19",2019-05-03,"E","Cat Point",11,74.74,67.86,33.92,123.39,1.05,18.41,99.9,4.46,93.84
"ABEC1905-20",2019-05-03,"E","Cat Point",11,49.21,44.78,30.33,38.05,1.04,8.22,30,2.71,28.52
"ABEC1905-21",2019-05-03,"E","Cat Point",11,63.58,70.75,32.96,81.4,1.06,17.42,60.62,4.02,57.8
"ABEC1905-22",2019-05-03,"E","Cat Point",11,57.44,52.38,22.56,53.35,1.05,10.99,41.35,3.04,40.17
"ABEC1905-23",2019-05-03,"E","Cat Point",11,72.38,59.16,25.26,64.29,1.03,14.88,45.08,3.67,42.93
"ABEC1905-24",2019-05-03,"E","Cat Point",11,67.07,56,28.23,96.53,1.03,11.74,81.77,3.16,77.39
"ABEC1905-25",2019-05-03,"E","Cat Point",11,69.97,60.77,30.15,100.74,1.04,17.6,81.47,4.17,75.15
"ABCC1905-01",2019-05-03,"C","Halfmoon",6,77.02,66.07,37.75,111.6,1.03,18.36,89.01,4.15,86.64
"ABCC1905-02",2019-05-03,"C","Halfmoon",6,100.28,75.27,38.73,167.38,1.04,28.04,121.55,5.68,114.43
"ABCC1905-03",2019-05-03,"C","Halfmoon",6,74.17,58.41,35.6,109.4,1.06,19.73,86.15,4.44,82.27
"ABCC1905-04",2019-05-03,"C","Halfmoon",6,64.38,46.01,32.76,63.95,1.04,6.71,52.02,1.6,48.02
"ABCC1905-05",2019-05-03,"C","Halfmoon",6,84.56,62.14,43.33,157.96,1.06,23.08,123.89,5.5,118.35
"ABCC1905-06",2019-05-03,"C","Halfmoon",6,93.27,69.45,37.62,149.79,1.03,21.59,121.54,4.99,117.02
"ABCC1905-07",2019-05-03,"C","Halfmoon",6,57.5,48.89,23,42.71,1.05,8.53,31.31,2.41,29.79
"ABCC1905-08",2019-05-03,"C","Halfmoon",6,76.03,51.88,36.72,119.63,1.04,11.84,95.43,2.27,91.64
"ABCC1905-09",2019-05-03,"C","Halfmoon",6,58.55,51.93,20.47,35.42,1.05,8.67,24.38,2.41,22.63
"ABCC1905-10",2019-05-03,"C","Halfmoon",6,56.75,48.32,24.16,37.43,1.04,6.02,29.47,2.05,28.31
"ABCC1905-11",2019-05-03,"C","Halfmoon",6,69.25,55.02,34.84,90.43,1.05,13.12,72.71,3.22,69.05
"ABCC1905-12",2019-05-03,"C","Halfmoon",6,82.32,59.72,40.01,124.44,1.04,24.21,94.07,5.48,90.35
"ABCC1905-13",2019-05-03,"C","Halfmoon",6,93.39,66.1,37.31,159.35,1.04,17.59,131.52,4.64,127.05
"ABCC1905-14",2019-05-03,"C","Halfmoon",6,83.45,55.28,30.13,108.23,1.06,21.42,79.24,4.77,74.34
"ABCC1905-15",2019-05-03,"C","Halfmoon",6,77.54,47.75,31.59,90.74,1.05,15.48,68.48,4.25,65.02
"ABCC1905-16",2019-05-03,"C","Halfmoon",6,83.71,57.65,35.91,123.03,1.05,17.01,96.3,2.49,92.42
"ABCC1905-17",2019-05-03,"C","Halfmoon",6,82.7,66.46,26.26,79.8,1.06,21.09,54.85,4.79,52.3
"ABCC1905-18",2019-05-03,"C","Halfmoon",6,47.42,48.44,23,30.18,1.04,6.4,24.02,2.01,23.22
"ABCC1905-19",2019-05-03,"C","Halfmoon",6,76.99,66.91,35,116.43,1.06,27.32,85.09,4.37,82.21
"ABCC1905-20",2019-05-03,"C","Halfmoon",6,59.34,59.69,29.27,73.16,1.04,13.47,57.5,2.99,55.78
"ABCC1905-21",2019-05-03,"C","Halfmoon",6,89.03,60.46,37.97,128.64,1.06,16.27,106.47,3.6,102.69
"ABCC1905-22",2019-05-03,"C","Halfmoon",6,52.74,48.59,25.9,37.24,1.05,9.36,26.23,2.39,25.31
"ABCC1905-23",2019-05-03,"C","Halfmoon",6,91.39,75.24,43.45,204.74,1.04,37.98,152.54,6.55,147.99
"ABCC1905-24",2019-05-03,"C","Halfmoon",6,43.35,37.13,14.62,18.85,1.03,4.47,14.39,1.65,14.08
"ABCC1905-25",2019-05-03,"C","Halfmoon",6,97.45,78.56,35.76,223.1,1.05,42.03,162.19,7.22,152.17
"ABEC1904-01",2019-04-02,"E","Cat Point",11,69.64,68.02,36.62,127.4,1.05,24.27,100.82,4.89,93.14
"ABEC1904-02",2019-04-02,"E","Cat Point",11,55.36,61,23.57,43.58,1.08,13.24,29.68,3.45,28.26
"ABEC1904-03",2019-04-02,"E","Cat Point",11,86.35,81.64,35.27,147.47,1.06,25.78,112.96,3.89,102.08
"ABEC1904-04",2019-04-02,"E","Cat Point",11,70.43,60.91,34.31,92.15,1.05,13.05,75.44,3.45,67.86
"ABEC1904-05",2019-04-02,"E","Cat Point",11,76.73,66.78,35.61,125.02,1.07,17.78,103.04,4.16,95.54
"ABEC1904-06",2019-04-02,"E","Cat Point",11,87.02,83.99,38.5,189.7,1.05,27.29,157,4.76,144.71
"ABEC1904-07",2019-04-02,"E","Cat Point",11,86.41,71.63,38.71,153.96,1.03,24.68,121.42,5.62,113.8
"ABEC1904-08",2019-04-02,"E","Cat Point",11,86.75,80.04,37.11,153.19,1.06,20.42,128.1,5.07,118.35
"ABEC1904-09",2019-04-02,"E","Cat Point",11,90.62,82.12,37.78,183.94,1.05,29.02,150.26,6.5,144.12
"ABEC1904-10",2019-04-02,"E","Cat Point",11,81.39,69.93,33.12,100.6,1.05,15.09,83.81,3.9,79.74
"ABEC1904-11",2019-04-02,"E","Cat Point",11,90.16,75.42,36.3,161.88,1.03,23.04,137.91,5.43,129.61
"ABEC1904-12",2019-04-02,"E","Cat Point",11,102.83,88.4,41.11,216.07,2.21,38.82,167.33,9.15,152.11
"ABEC1904-13",2019-04-02,"E","Cat Point",11,62.29,58.02,24.91,56.04,1.06,9.41,46.86,2.68,44.84
"ABEC1904-14",2019-04-02,"E","Cat Point",11,74.53,81.54,32.02,132.99,1.04,19.36,112.03,4.75,108.34
"ABEC1904-15",2019-04-02,"E","Cat Point",11,73.93,76.81,36.05,121.96,1.05,18.91,101.98,4.59,97.6
"ABEC1904-16",2019-04-02,"E","Cat Point",11,66.64,59.78,32.71,82.69,1.04,12.14,68.36,3.07,66.91
"ABEC1904-17",2019-04-02,"E","Cat Point",11,69.35,50.25,30.05,80.85,1.05,15.12,64.93,3.56,62.55
"ABEC1904-18",2019-04-02,"E","Cat Point",11,89.07,68,42.06,182.3,1.05,33.19,137.78,5.46,128.5
"ABEC1904-19",2019-04-02,"E","Cat Point",11,74.74,63.88,35.53,91.88,1.06,18.68,69.04,4.7,66.59
"ABEC1904-20",2019-04-02,"E","Cat Point",11,96.2,79.12,44.07,223.3,2.26,34.57,182.93,8.52,174.73
"ABEC1904-21",2019-04-02,"E","Cat Point",11,66.4,59.95,26.96,75.24,1.05,13.62,60.51,3.59,58.19
"ABEC1904-22",2019-04-02,"E","Cat Point",11,73.49,66.18,34.54,96.96,1.02,19.72,73.36,4.38,68.55
"ABEC1904-23",2019-04-02,"E","Cat Point",11,81.63,64.36,36.11,161.83,1.05,23.79,135.36,4.79,129.22
"ABEC1904-24",2019-04-02,"E","Cat Point",11,66.82,63.71,40.85,112.67,1.05,18.65,92.97,4.08,85.75
"ABEC1904-25",2019-04-02,"E","Cat Point",11,64.98,59.05,37.86,121.47,1.04,16.02,104.72,4.02,98.57
"ABCC1904-01",2019-04-02,"C","Halfmoon",6,77.18,60.77,40.07,142.34,1.05,21.41,114.23,5.01,110.63
"ABCC1904-02",2019-04-02,"C","Halfmoon",6,99.11,75.69,55.93,297.8,2.22,37.26,235.9,8.37,224.5
"ABCC1904-03",2019-04-02,"C","Halfmoon",6,72.04,54.06,25.8,70.8,1.05,9.63,58.09,2.8,54.8
"ABCC1904-04",2019-04-02,"C","Halfmoon",6,65.89,60.58,36.01,100.35,1.03,15.2,72.7,4.09,69.34
"ABCC1904-05",2019-04-02,"C","Halfmoon",6,80.15,55.92,44.53,157.87,1.04,14.16,133.81,3.32,129
"ABCC1904-06",2019-04-02,"C","Halfmoon",6,92.08,73.96,39.91,181.18,1.02,21.14,143.58,4.65,137.34
"ABCC1904-07",2019-04-02,"C","Halfmoon",6,72.87,69.39,33.84,107.93,1.05,18.18,85.63,4.2,82.23
"ABCC1904-08",2019-04-02,"C","Halfmoon",6,91.4,44.9,41.64,127.22,1.04,18.28,102.53,4.47,97.19
"ABCC1904-09",2019-04-02,"C","Halfmoon",6,77.09,66.97,40.42,135.05,1.05,18.36,112.34,4.37,109.29
"ABCC1904-10",2019-04-02,"C","Halfmoon",6,79.23,68.38,39.66,167.88,1.06,19.95,135.17,4.55,127.23
"ABCC1904-11",2019-04-02,"C","Halfmoon",6,56.72,48.73,26.33,46.74,1.05,8.31,34.98,2.55,33
"ABCC1904-12",2019-04-02,"C","Halfmoon",6,100.55,66.99,45.76,190.92,1.03,21.05,145.32,4.6,136.91
"ABCC1904-13",2019-04-02,"C","Halfmoon",6,74.24,66.32,33.66,125.21,1.05,17.4,102.6,4.03,98.46
"ABCC1904-14",2019-04-02,"C","Halfmoon",6,73,69.11,37.44,133.15,1.03,18.55,101.23,4.14,95
"ABCC1904-15",2019-04-02,"C","Halfmoon",6,79.11,58.98,33.35,119.73,1.03,17.63,96.13,4.12,92.71
"ABCC1904-16",2019-04-02,"C","Halfmoon",6,105.89,88.69,48.45,241.5,2.24,37.53,188.98,8.88,176.67
"ABCC1904-17",2019-04-02,"C","Halfmoon",6,57.2,47.24,21.82,40.07,1.04,6.88,33.03,2.46,31.85
"ABCC1904-18",2019-04-02,"C","Halfmoon",6,67.7,59.24,36.59,81.36,1.03,12.09,68.4,3.18,65.58
"ABCC1904-19",2019-04-02,"C","Halfmoon",6,86.39,77.92,35.75,179.74,1.02,27.12,136.79,4.96,131.3
"ABCC1904-20",2019-04-02,"C","Halfmoon",6,78.37,65.06,38.17,156.99,1.04,20.22,128.04,4.94,123.09
"ABCC1904-21",2019-04-02,"C","Halfmoon",6,69.64,55.39,32.52,79.32,1.04,9.56,62.73,2.45,59.75
"ABCC1904-22",2019-04-02,"C","Halfmoon",6,98.72,56.74,40.85,138.75,1.04,28.31,101.62,6.16,97.41
"ABCC1904-23",2019-04-02,"C","Halfmoon",6,111.39,89.99,42.36,289.2,2.23,41.72,216.39,10.23,205.34
"ABCC1904-24",2019-04-02,"C","Halfmoon",6,62.08,48.57,25.41,44.06,1.04,9.14,32.86,2.57,32.01
"ABCC1904-25",2019-04-02,"C","Halfmoon",6,70.51,62.48,36.11,98.66,1.03,14.03,76.66,3.82,73.53
"ABEC1903-01",2019-03-08,"E","Cat Point",11,86.73,58.81,39.73,138.58,1.04,21.02,114.69,4.44,109.91
"ABEC1903-02",2019-03-08,"E","Cat Point",11,82.3,71.09,35.7,118.13,5.25,21.56,98.44,8.04,94.38
"ABEC1903-03",2019-03-08,"E","Cat Point",11,65.57,55.94,30.78,70.35,1.05,11.79,58.14,2.82,55.26
"ABEC1903-04",2019-03-08,"E","Cat Point",11,88.49,67.63,37.73,138.42,1.04,20.95,116.95,4.14,108.39
"ABEC1903-05",2019-03-08,"E","Cat Point",11,73.35,64.86,34.42,106.62,1.05,17.74,88.14,3.96,84.21
"ABEC1903-06",2019-03-08,"E","Cat Point",11,75.23,63.81,29.47,91.48,5.33,17.8,77.75,7.48,73.85
"ABEC1903-07",2019-03-08,"E","Cat Point",11,96.54,72.86,39.88,163.05,1.05,26.45,133.05,5.03,122.11
"ABEC1903-08",2019-03-08,"E","Cat Point",11,76.34,56.91,27.71,85.97,1.05,14.12,69.76,3.09,67.21
"ABEC1903-09",2019-03-08,"E","Cat Point",11,76.84,58.77,31.54,80.52,1.03,16.03,64.56,3.36,61.69
"ABEC1903-10",2019-03-08,"E","Cat Point",11,86.07,77.32,38.59,180.24,1.05,27.74,146.9,5.27,137.74
"ABEC1903-11",2019-03-08,"E","Cat Point",11,90.82,73.67,36.96,187.08,5.32,34.94,150.6,8.66,140.97
"ABEC1903-12",2019-03-08,"E","Cat Point",11,85.75,68.36,34.15,125.35,1.05,22.37,103.26,4.3,100.45
"ABEC1903-13",2019-03-08,"E","Cat Point",11,83.75,59.76,31,108.35,1.05,23.32,84,4.17,79.89
"ABEC1903-14",2019-03-08,"E","Cat Point",11,80.5,72.31,37.05,168.08,1.05,23.27,144.9,4.85,138.89
"ABEC1903-15",2019-03-08,"E","Cat Point",11,66.71,66.69,33.78,89.74,1.04,14.59,72.88,3.52,70.82
"ABEC1903-16",2019-03-08,"E","Cat Point",11,87.98,71.68,35.91,130.42,1.06,21,108.57,4.21,99.75
"ABEC1903-17",2019-03-08,"E","Cat Point",11,81.77,76.29,34.66,109.45,1.06,17.91,90.01,3.7,84.86
"ABEC1903-18",2019-03-08,"E","Cat Point",11,76.83,54.74,25.51,67.35,1.04,15.05,52.97,3.32,51.11
"ABEC1903-19",2019-03-08,"E","Cat Point",11,76.52,56.1,35.56,112.25,1.02,20.32,90.65,4.14,83.1
"ABEC1903-20",2019-03-08,"E","Cat Point",11,87.8,62.59,39.38,156.61,1.05,27.72,126.86,4.82,118.39
"ABEC1903-21",2019-03-08,"E","Cat Point",11,90.59,68.29,35.2,184.98,5.25,32.69,154.16,9.43,145.67
"ABEC1903-22",2019-03-08,"E","Cat Point",11,87.65,67.36,31.75,132.18,1.05,22.86,106.79,4.69,99.78
"ABEC1903-23",2019-03-08,"E","Cat Point",11,59.71,69.53,27.99,66.87,1.04,13.58,52.28,3.17,50.02
"ABEC1903-24",2019-03-08,"E","Cat Point",11,65.28,48.85,31.07,69.53,1.08,9.25,59.61,2.25,58.46
"ABEC1903-25",2019-03-08,"E","Cat Point",11,69.97,61.03,30.49,83.81,1.06,14.9,68.46,3.01,63.91
"ABCC1903-01",2019-03-08,"C","Halfmoon",6,73.57,66.58,35.75,138.97,1.06,25.11,109.74,4.23,104.76
"ABCC1903-02",2019-03-08,"C","Halfmoon",6,96.55,64.09,40.16,176.67,5.34,31.63,143.28,8.72,137.02
"ABCC1903-03",2019-03-08,"C","Halfmoon",6,82.43,63.8,41.52,167.24,1.06,24.22,135.46,2.64,129.14
"ABCC1903-04",2019-03-08,"C","Halfmoon",6,88.98,70.72,41.05,183.84,1.05,28.2,154.16,4.37,148.36
"ABCC1903-05",2019-03-08,"C","Halfmoon",6,82.98,66.36,40.62,174.14,1.06,28.14,138.96,3.45,131.76
"ABCC1903-06",2019-03-08,"C","Halfmoon",6,111.31,72.39,54.75,355.2,5.32,50.41,297.7,8.75,273.4
"ABCC1903-07",2019-03-08,"C","Halfmoon",6,67.54,63.69,35.2,106.32,1.05,20.65,84.91,3.47,80.14
"ABCC1903-08",2019-03-08,"C","Halfmoon",6,86.55,67.79,36.78,168.53,1.02,24.49,128.96,2.28,116.28
"ABCC1903-09",2019-03-08,"C","Halfmoon",6,102.93,85.95,45.01,308.5,5.31,48.54,259.2,9.71,241.6
"ABCC1903-10",2019-03-08,"C","Halfmoon",6,77.55,62.96,38.99,141.44,1.04,18.45,119.65,2.7,113.41
"ABCC1903-11",2019-03-08,"C","Halfmoon",6,71.58,54.62,32.85,61.31,1.03,18.2,43.17,3.2,39.93
"ABCC1903-12",2019-03-08,"C","Halfmoon",6,84.56,73.68,42.12,184.66,1.05,29.91,146.19,3.74,139.65
"ABCC1903-13",2019-03-08,"C","Halfmoon",6,69.72,67.07,33.34,110.21,1.08,24.59,83.71,3.28,79.04
"ABCC1903-14",2019-03-08,"C","Halfmoon",6,95.25,77.82,47.78,271.2,1.05,36.65,225.2,5.35,212.33
"ABCC1903-15",2019-03-08,"C","Halfmoon",6,117.87,81.52,58.07,379.8,5.33,75.12,304.9,9.87,276.9
"ABCC1903-16",2019-03-08,"C","Halfmoon",6,72.48,60.85,44.1,119.47,1.05,24.74,92.27,3.49,86.6
"ABCC1903-17",2019-03-08,"C","Halfmoon",6,103.3,75.87,48.2,251.3,5.42,47.28,200.91,8.11,189.67
"ABCC1903-18",2019-03-08,"C","Halfmoon",6,101.3,72.67,40.79,214.01,5.36,56.11,159.87,10.46,151.02
"ABCC1903-19",2019-03-08,"C","Halfmoon",6,90.54,69.79,52.64,251.9,1.05,39.1,208.73,3.32,198.33
"ABCC1903-20",2019-03-08,"C","Halfmoon",6,99.14,69.41,42.11,232.1,5.35,38.92,190.38,9.16,183.94
"ABEC1902-01",2019-02-05,"E","Cat Point",11,70.67,54.43,44.98,133.68,1.05,20.97,105.96,4.96,99.78
"ABEC1902-02",2019-02-05,"E","Cat Point",11,109.56,69.73,50.93,246.5,1.05,31.25,188.03,6.12,164.47
"ABEC1902-03",2019-02-05,"E","Cat Point",11,76.01,88.04,37.7,161.25,1.08,21.46,129.3,4.18,123.2
"ABEC1902-04",2019-02-05,"E","Cat Point",11,87.08,62.95,29.08,136.64,1.06,17.99,113.23,4.92,105.75
"ABEC1902-05",2019-02-05,"E","Cat Point",11,77.06,70.56,34.13,146.16,1.06,20.3,120.16,4.52,111.44
"ABEC1902-06",2019-02-05,"E","Cat Point",11,72.19,65.63,31.17,113.13,1.05,16.86,91.94,4.05,87.78
"ABEC1902-07",2019-02-05,"E","Cat Point",11,71.19,62.53,31.57,104.55,1.05,14.83,81.17,3.68,77.85
"ABEC1902-08",2019-02-05,"E","Cat Point",11,82.97,72.14,38.42,173.62,1.05,22.62,143.84,5.03,134.61
"ABEC1902-09",2019-02-05,"E","Cat Point",11,68.92,58.95,31.79,100.84,1.02,12.09,83.9,3.23,77.31
"ABEC1902-10",2019-02-05,"E","Cat Point",11,79.98,69.88,40.08,156.94,1.03,19.28,131.56,4.7,122.52
"ABEC1902-11",2019-02-05,"E","Cat Point",11,69.03,65.04,33.15,113.73,1.05,15.84,92.77,3.85,87.59
"ABEC1902-12",2019-02-05,"E","Cat Point",11,84.82,72.93,44.93,197.65,1.05,25.38,161.72,6.03,149.86
"ABEC1902-13",2019-02-05,"E","Cat Point",11,96.82,76.29,40.11,214.65,1.05,25.15,175.5,6.02,163.79
"ABEC1902-14",2019-02-05,"E","Cat Point",11,68.8,56.06,32.28,86.99,1.05,8.2,76.17,2.39,72.02
"ABEC1902-15",2019-02-05,"E","Cat Point",11,73.6,64.97,30,90.85,1.05,11.92,75.86,3,71.76
"ABEC1902-16",2019-02-05,"E","Cat Point",11,64.66,59.17,35.2,NA,1.06,17.92,150.7,3.89,140.84
"ABEC1902-17",2019-02-05,"E","Cat Point",11,90.39,65.47,36.31,NA,1.06,15.3,103.62,3.91,96.33
"ABEC1902-18",2019-02-05,"E","Cat Point",11,80.85,66.01,32.4,149.15,1.05,17.2,122.94,4.07,118.84
"ABEC1902-19",2019-02-05,"E","Cat Point",11,67.29,55.55,34.09,100.55,1.03,14.85,81.59,3.61,73.04
"ABEC1902-20",2019-02-05,"E","Cat Point",11,89.77,74.3,37.27,201.72,1.04,27.2,161.78,6.26,157.55
"ABEC1902-21",2019-02-05,"E","Cat Point",11,78.66,70.51,32.95,125.91,1.05,16.59,90.72,4.11,84.66
"ABEC1902-22",2019-02-05,"E","Cat Point",11,59.6,49.55,30.8,80.05,1.07,9.18,68.99,2.71,63.01
"ABEC1902-23",2019-02-05,"E","Cat Point",11,70.79,61.25,28.37,93.59,1.03,9.98,78.27,2.78,75.2
"ABEC1902-24",2019-02-05,"E","Cat Point",11,78.31,67.12,36.07,125.03,1.04,19.28,101.19,4.71,93.32
"ABEC1902-25",2019-02-05,"E","Cat Point",11,88.6,75.61,38.2,169.89,1.04,23.5,139.11,4.74,131.29
"ABCC1902-01",2019-02-05,"C","Halfmoon",6,95.78,67.03,41.59,224.5,1.06,23.99,182.61,4.43,172.96
"ABCC1902-02",2019-02-05,"C","Halfmoon",6,97.53,68.18,53.27,239.2,1.05,23.27,198.45,4,190.05
"ABCC1902-03",2019-02-05,"C","Halfmoon",6,101.84,73.72,39.01,230.2,1.04,30.61,187.41,4.22,176.32
"ABCC1902-04",2019-02-05,"C","Halfmoon",6,94.29,65.83,48.06,211.9,1.06,23.26,171.22,3.23,158.42
"ABCC1902-05",2019-02-05,"C","Halfmoon",6,105.34,74.15,46.52,243.7,1.01,27.78,199.22,3.78,190.57
"ABCC1902-06",2019-02-05,"C","Halfmoon",6,79.52,68.48,27.54,94.48,1.04,18.76,67.69,3.14,62.77
"ABCC1902-07",2019-02-05,"C","Halfmoon",6,96.57,77.24,50.29,292.6,1.04,27.63,223.6,3.09,206.19
"ABCC1902-08",2019-02-05,"C","Halfmoon",6,117.27,76.01,41.05,266.1,1.04,21.99,213.57,3.65,198.69
"ABCC1902-09",2019-02-05,"C","Halfmoon",6,79.06,66.81,41.46,152.55,1.04,18.03,120.49,3.83,114.98
"ABCC1902-10",2019-02-05,"C","Halfmoon",6,63.83,48.89,18.93,54.77,1.07,8.65,41.38,2.12,38.72
"ABCC1902-11",2019-02-05,"C","Halfmoon",6,84.04,60.95,32.75,121.54,1.05,16.89,92.4,3.54,86
"ABCC1902-12",2019-02-05,"C","Halfmoon",6,97.7,60.35,33.07,159.32,1.05,21.35,123.1,4.11,115.3
"ABCC1902-13",2019-02-05,"C","Halfmoon",6,75.35,52.66,27.43,75.76,1.04,14.35,56.46,3.03,52.75
"ABCC1902-14",2019-02-05,"C","Halfmoon",6,81.6,69.46,40.4,190.12,1.04,29.46,143.38,4.54,132.4
"ABCC1902-15",2019-02-05,"C","Halfmoon",6,68.69,51.46,33.68,79.41,1.05,13.76,60.57,2.7,57.34
"ABCC1902-16",2019-02-05,"C","Halfmoon",6,79.3,65.29,36.86,143.72,1.04,13.83,113.9,2.85,107.22
"ABCC1902-17",2019-02-05,"C","Halfmoon",6,93.12,61.26,27.69,113.16,1.05,20.11,87.68,3.09,81.89
"ABCC1902-18",2019-02-05,"C","Halfmoon",6,107.42,69.9,34.5,197.55,1.03,24.8,156.93,4.28,152.5
"ABCC1902-19",2019-02-05,"C","Halfmoon",6,69.1,67.09,32.03,111.35,1.04,21.8,82.15,3.33,79.1
"ABCC1902-20",2019-02-05,"C","Halfmoon",6,126.52,79.67,46.23,329.9,5.28,43.95,248.7,9.28,235.9
"ABCC1902-21",2019-02-05,"C","Halfmoon",6,93.26,59.94,40.91,155.53,1.06,26.49,111.11,4.2,106.16
"ABCC1902-22",2019-02-05,"C","Halfmoon",6,104.95,76.61,49.14,308.5,5.26,48.04,235.6,7.92,218.88
"ABCC1902-23",2019-02-05,"C","Halfmoon",6,81.82,65.85,39.58,145.15,1.05,14.86,117.32,2.63,111.93
"ABCC1902-24",2019-02-05,"C","Halfmoon",6,64.88,48.96,18.9,51.2,1.04,12.01,34.17,2.3,31.03
"ABCC1902-25",2019-02-05,"C","Halfmoon",6,90.56,67.78,42.54,178.41,1.02,22.33,140.97,3.59,137.14
"ABEC1901-01",2019-01-03,"E","Cat Point",11,76.47,58.51,34.55,79.27,1.02,6.85,64.83,2.73,62.13
"ABEC1901-02",2019-01-03,"E","Cat Point",11,88.9,69.07,46.12,181.07,1.05,7.69,150.06,4.23,137.36
"ABEC1901-03",2019-01-03,"E","Cat Point",11,96.28,69.79,33.85,204.47,1.06,30.2,172.66,4.94,156.48
"ABEC1901-04",2019-01-03,"E","Cat Point",11,86.59,71.92,40.4,194.72,1.06,22.55,160.78,5.31,148.26
"ABEC1901-05",2019-01-03,"E","Cat Point",11,85.08,74.52,39.96,171.89,1.03,23.2,142.4,5.23,133.36
"ABEC1901-06",2019-01-03,"E","Cat Point",11,83.17,74.43,31.52,124.59,1.07,22.78,101.03,3.36,94.43
